FCID_Code,FCID_Desc,GHGE,CED,e,f,wweia_codes,wweia_desc,Portion_description,Portion_weight,Fruit,Veg,Meat,Dairy,Grain,Protein,Oil,Beverage,ingredient_code,kcal,proteins,carbs,fat,sugar,kgCO2perKCal,kgCO2perPortion,kcalPortion,proteinPortion,carbsPortion,fatPortion,sugarPortion
101388000,Turnip,0.5,1.749,1, roots,75129000,"Turnip, raw","1 cup, cubes",130,0,1,0,0,0,0,0,0,11564,28,0.9,6.43,0.1,3.8,0.001785714,0.065,36.4,1.17,8.359,0.13,4.94
902356000,"Squash, summer",1.23,0.193,1, zucchini,75128010,"Squash, summer, green, raw","1 cup, sliced",113,0,1,0,0,0,0,0,0,11477,17,1.21,3.11,0.32,2.5,0.007235294,0.13899,19.21,1.3673,3.5143,0.3616,2.825
101327000,Rutabaga,0.25,1.678,1, roots,75127000,"Rutabaga, raw",1 cup,140,0,1,0,0,0,0,0,0,11435,37,1.08,8.62,0.16,4.46,0.000675676,0.035,51.8,1.512,12.068,0.224,6.244
101314000,Radish,0.24,1.578,1, roots,75125000,"Radish, raw",1 cup,116,0,1,0,0,0,0,0,0,11429,16,0.68,3.4,0.1,1.86,0.0015,0.02784,18.56,0.7888,3.944,0.116,2.1576
802270000,"Pepper, bell",0.53,6.881,1,,75122000,"Pepper, raw, NFS","1 cup, chopped",149,0,1,0,0,0,0,0,0,11333,20,0.86,4.64,0.17,2.4,0.00265,0.07897,29.8,1.2814,6.9136,0.2533,3.576
302239000,"Onion, green",0.09,1.231,1, carrot,75117020,"Onions, mature, raw","1 cup, chopped",160,0,1,0,0,0,0,0,0,11282,40,1.1,9.34,0.1,4.24,0.000225,0.0144,64,1.76,14.944,0.16,6.784
2100228000, Mushroom,3.09,4.987,1,,75115000,"Mushrooms, raw","1 cup, whole",96,0,1,0,0,0,0,0,0,11260,22,3.09,3.26,0.34,1.98,0.014045455,0.29664,21.12,2.9664,3.1296,0.3264,1.9008
401205000,"Lettuce, leaf",0.22,3.514,1,,75113000,"Lettuce, raw",2 cups,70,0,1,0,0,0,0,0,0,11252,14,0.9,2.97,0.14,1.97,0.001571429,0.0154,9.8,0.63,2.079,0.098,1.379
302198000,Leek,0.07,2.55,1,onion_bulb,75112500,"Leek, raw",1 cup,89,0,1,0,0,0,0,0,0,11246,61,1.5,14.15,0.3,3.9,0.000114754,0.00623,54.29,1.335,12.5935,0.267,3.471
802148000,Eggplant,0.53,2.94,1, nightshades,75111200,"Eggplant, raw","1 cup, cubes",82,0,1,0,0,0,0,0,0,11209,25,0.98,5.88,0.18,3.53,0.00212,0.04346,20.5,0.8036,4.8216,0.1476,2.8946
